,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
29,0.13176488876342773,0.007811517113458787,0.0030437469482421874,2.7311823851211284e-05,0.01,1,3,300,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 300}",0.9173032233016474,0.8868942373338256,0.9051623406777863,0.915312161834314,0.8723434828945041,0.8994030892084155,0.017293791018417843,21,-4.675549810622474,-5.472317413909126,-5.2713283025572535,-4.73569908187309,-6.223216141214269,-5.275622150035242,0.5636036848951792,21
27,0.046869325637817386,0.006569993126750568,0.0029364585876464843,3.3037142117367376e-05,0.01,1,3,100,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 3, 'n_estimators': 100}",0.914303228362584,0.8823303368122131,0.9120083490573281,0.9141639873789266,0.8728947921266415,0.8991401387475386,0.017847206007135352,22,-4.759601883625301,-5.58163160364499,-5.077505295832664,-4.76769365743375,-6.209763522895804,-5.279239192686502,0.5531211498509134,22
18,0.04818439483642578,0.007437132888083331,0.0031292915344238283,0.0003487938293941673,0.01,0.1,3,100,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9259262755112078,0.8882281140870291,0.9197930728394171,0.8929674329372913,0.8571017164466883,0.8968033223643268,0.024662282068118862,23,-4.425073492167845,-5.439953697719303,-4.847698385729499,-5.323920306190351,-6.584258838469659,-5.324180944055331,0.7261720921163274,23
54,0.04840354919433594,0.006107412817738584,0.0029937267303466798,6.242317472458815e-05,0.1,0.1,3,100,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9259262755112078,0.8882281140870291,0.9197930728394171,0.8922815813404307,0.8571001618923307,0.8966658411340831,0.024685630685928543,24,-4.425073492167845,-5.439953697719303,-4.847698385729499,-5.340950582807267,-6.5842946526172375,-5.32759416220823,0.7262152157477825,24
17,0.677903127670288,0.08285206401738675,0.003993511199951172,0.0003873073529865711,0.01,0.01,9,300,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300}",0.8990270206696447,0.8723854306652044,0.8924744819219839,0.8820439578798418,0.8627055896730403,0.881727296161943,0.013145177923146567,25,-5.166435149566075,-5.812715181737212,-5.6128756890474065,-5.588994355472365,-6.453864117865257,-5.7269768987376635,0.4199955722066225,25
53,0.6430631637573242,0.03606993397529319,0.003824949264526367,2.0936898263281673e-05,0.1,0.01,9,300,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300}",0.899374579661167,0.871114028741792,0.8920825775593137,0.882334227025838,0.8621004112099464,0.8814011648396114,0.013537733066121401,26,-5.157535794209462,-5.841598957950965,-5.623095169041155,-5.582113351854278,-6.468072434875863,-5.7344831415863435,0.42851350602762034,26
14,0.35224037170410155,0.005538721315477449,0.0034364700317382813,1.9330204429244657e-05,0.01,0.01,6,300,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300}",0.8964396255733044,0.8568833530045518,0.8881845424269725,0.870967771709438,0.8538892145368926,0.8732729014502318,0.01678518622442604,27,-5.232210439033601,-6.155651015172027,-5.723748920337534,-5.845513579074975,-6.6578579816183066,-5.922996387047289,0.47266015352640384,27
50,0.3349905490875244,0.005502940597879432,0.003545236587524414,3.724992549441329e-05,0.1,0.01,6,300,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 300}",0.8966010489294887,0.8568605955469148,0.8869795086828893,0.8694238371723516,0.85493029902744,0.8729590578718168,0.01644512816736708,28,-5.228131029518126,-6.156140411065742,-5.754508652262848,-5.880381818284059,-6.634095930354281,-5.9306515682970105,0.46319923807469693,28
66,0.16566619873046876,0.04299103106517047,0.003001117706298828,8.361167908672073e-05,0.1,1,6,100,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 100}",0.826806004565671,0.8489300505378701,0.8281746965671208,0.8823848241297573,0.8461039027298808,0.84647989570606,0.02008706460709926,29,-6.766355514381236,-6.324379987944413,-7.095340008853206,-5.580913048947986,-6.832933475707423,-6.519984407166852,0.5309964246600335,29
67,0.43555445671081544,0.06144973333476804,0.0030900001525878905,0.00020815176888936237,0.1,1,6,200,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",0.8268059890171181,0.8489300451165867,0.8281746965671208,0.8823848281682328,0.8461038884825911,0.8464798894703298,0.02008706901765618,30,-6.766355818107223,-6.324380101422495,-7.095340008853206,-5.5809129531339,-6.832933791994783,-6.5199845347023215,0.5309965156552365,30
68,0.5240091800689697,0.04300041953968624,0.0032262802124023438,0.00030602991262353017,0.1,1,6,300,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 300}",0.8268059814078058,0.8489300396952512,0.8281746965671208,0.8823848295413086,0.8461038808033446,0.8464798856029662,0.020087070895574453,31,-6.766355966747796,-6.324380214901664,-7.095340008853206,-5.580912920557252,-6.832933962472716,-6.5199846147065275,0.5309965527050089,31
32,0.26527791023254393,0.030635995328957628,0.003262948989868164,0.0006115470555231408,0.01,1,6,300,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 300}",0.8276737717566662,0.855059648961222,0.8349923359403331,0.8730035370784249,0.8414606247221685,0.8464379836917629,0.016049513033518644,32,-6.749383232677319,-6.194746917201761,-6.953151785829538,-5.799217371815125,-6.935247437483858,-6.526349349001521,0.4555838375396705,32
31,0.1813426971435547,0.02019034314188382,0.002950620651245117,3.2178347930680844e-05,0.01,1,6,200,"{'gamma': 0.01, 'learning_rate': 1, 'max_depth': 6, 'n_estimators': 200}",0.8276737813782971,0.855059648961222,0.8349923190817863,0.8730035340647802,0.8414606247221685,0.8464379816416507,0.016049512190573538,33,-6.749383044255406,-6.194746917201761,-6.9531521410252575,-5.799217440623266,-6.935247437483858,-6.52634939611791,0.45558386367817616,33
